event_ID	data_type	num_people	num_people_v2	num_records	per_sensitive	per_sensitive_v2	dys_impact	dys_detect	dys_detect_v2	cost_controls	cost_controls_v2
119	Authentication Credentials	57.66	Between 30 to 60 million	58.85	4	Low	234	192	Slow	54.03	High
120	Intellectual Property	49.41	Between 30 to 60 million	45.64	95	High	1244	357	Slow	36.35	Low
121	Personal	48.14	Between 30 to 60 million	48.04	47	Moderate	763	244	Slow	42.63	Low
122	Identity	62.05	More than 60 million	63.65	100	High	1782	368	Slow	51.2	High
123	Authentication Credentials	43.01	Between 30 to 60 million	42.04	4	Low	973	83	Fast	42.63	Low
124	Intellectual Property	57.55	Between 30 to 60 million	56.45	2	Low	314	789	Slow	74.31	High
125	Identity	53.8	Between 30 to 60 million	50.45	80	High	670	22	Fast	45.08	Low
126	Financial	34.47	Between 30 to 60 million	37.24	80	High	732	74	Fast	37.58	Low
127	Intellectual Property	39.14	Between 30 to 60 million	33.64	36	Moderate	638	270	Slow	34.6	Low
128	Personal	60.21	Between 30 to 60 million	54.05	47	Moderate	591	90	Fast	50.82	High
129	Financial	34.47	Between 30 to 60 million	37.24	58	Moderate	1311	915	Slow	45.77	Low
130	Intellectual Property	58.82	Between 30 to 60 million	54.05	36	Moderate	892	1087	Slow	57.78	High
131	Intellectual Property	46.76	Between 30 to 60 million	48.04	13	Low	530	613	Slow	57.55	High
132	Financial	63.32	More than 60 million	61.25	19	Low	989	241	Slow	49.9	Low
133	Personal	40.24	Between 30 to 60 million	42.04	36	Moderate	827	573	Slow	38.35	Low
134	Identity	41.22	Between 30 to 60 million	48.04	47	Moderate	355	702	Slow	57.01	High
135	Intellectual Property	42.08	Between 30 to 60 million	51.65	69	High	489	970	Slow	47.3	Low
136	Intellectual Property	58.3	Between 30 to 60 million	57.65	69	High	1250	767	Slow	73.24	High
137	Financial	48.14	Between 30 to 60 million	48.04	19	Low	770	133	Slow	56.25	High
138	Personal	43.46	Between 30 to 60 million	51.65	19	Low	807	769	Slow	42.86	Low
139	Intellectual Property	58.18	Between 30 to 60 million	55.25	80	High	869	237	Slow	66.12	High
140	Financial	53.94	Between 30 to 60 million	51.41	2	Low	616	1057	Slow	41.71	Low
141	Health	58.18	Between 30 to 60 million	55.25	80	High	1131	22	Fast	45.46	Low
142	Intellectual Property	48.89	Between 30 to 60 million	49.24	100	High	51	934	Slow	51.74	High
143	Personal	50	Between 30 to 60 million	50	48	Moderate	558	1027	Slow	50	Low
144	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	672	653	Slow	50	Low
145	Health	54.63	Between 30 to 60 million	55.97	58	Moderate	193	563	Slow	50	Low
146	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	910	294	Slow	50	Low
147	Personal	50	Between 30 to 60 million	50	48	Moderate	548	821	Slow	50	Low
148	Personal	50	Between 30 to 60 million	50	48	Moderate	238	421	Slow	50	Low
149	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	414	657	Slow	50	Low
150	Financial	50	Between 30 to 60 million	50	48	Moderate	497	1066	Slow	50	Low
151	Financial	50	Between 30 to 60 million	50	13	Low	959	1002	Slow	50	Low
152	Personal	49.08	Between 30 to 60 million	54.69	88	High	321	874	Slow	50	Low
153	Authentication Credentials	56.89	Between 30 to 60 million	54.69	69	High	927	933	Slow	50	Low
154	Financial	55.91	Between 30 to 60 million	50.94	80	High	361	1076	Slow	50	Low
155	Financial	50	Between 30 to 60 million	50	48	Moderate	948	901	Slow	50	Low
156	Identity	50.26	Between 30 to 60 million	47.19	80	High	95	227	Slow	50	Low
157	Intellectual Property	55.91	Between 30 to 60 million	50.94	58	Moderate	1335	948	Slow	50	Low
158	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	166	610	Slow	50	Low
159	Financial	50	Between 30 to 60 million	50	48	Moderate	374	835	Slow	50	Low
160	Financial	44.48	Between 30 to 60 million	40.93	58	Moderate	552	723	Slow	50	Low
161	Financial	50	Between 30 to 60 million	50	48	Moderate	507	411	Slow	50	Low
162	Financial	50	Between 30 to 60 million	50	48	Moderate	214	434	Slow	50	Low
163	Identity	64.32	More than 60 million	68.79	100	High	1681	456	Slow	50	Low
164	Personal	25.17	Less than 30 million	35.83	36	Moderate	492	1026	Slow	50	Low
165	Financial	50	Between 30 to 60 million	50	48	Moderate	204	593	Slow	50	Low
166	Health	53.18	Between 30 to 60 million	58.45	80	High	129	499	Slow	50	Low
167	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	440	1083	Slow	50	Low
168	Financial	31.61	Between 30 to 60 million	33.43	4	Low	421	808	Slow	50	Low
169	Intellectual Property	55.58	Between 30 to 60 million	59.7	80	High	1331	79	Fast	50	Low
170	Personal	12.96	Less than 30 million	19.67	47	Moderate	535	188	Slow	50	Low
171	Financial	50	Between 30 to 60 million	50	48	Moderate	428	365	Slow	50	Low
172	Health	51.1	Between 30 to 60 million	48.44	7	Low	867	257	Slow	50	Low
173	Identity	43.04	Between 30 to 60 million	43.43	28	Low	708	664	Slow	50	Low
174	Authentication Credentials	41.04	Between 30 to 60 million	39.31	47	Moderate	265	398	Slow	50	Low
175	Identity	42.2	Between 30 to 60 million	42.18	58	Moderate	927	503	Slow	50	Low
176	Identity	64.36	More than 60 million	63.45	19	Low	813	839	Slow	50	Low
177	Intellectual Property	52.92	Between 30 to 60 million	53.44	13	Low	367	162	Slow	50	Low
178	Intellectual Property	47.98	Between 30 to 60 million	48.44	48	Moderate	497	434	Slow	50	Low
179	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	733	748	Slow	50	Low
180	Personal	50	Between 30 to 60 million	50	48	Moderate	857	243	Slow	50	Low
181	Identity	55.45	Between 30 to 60 million	57.19	95	High	835	370	Slow	50	Low
182	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	113	624	Slow	50	Low
183	Authentication Credentials	53.78	Between 30 to 60 million	43.16	80	High	458	24	Fast	50	Low
184	Identity	51.1	Between 30 to 60 million	48.44	47	Moderate	209	295	Slow	50	Low
185	Personal	50	Between 30 to 60 million	50	2	Low	670	102	Fast	50	Low
186	Intellectual Property	57.99	Between 30 to 60 million	60.95	95	High	324	444	Slow	50	Low
187	Financial	56.76	Between 30 to 60 million	52.19	19	Low	807	684	Slow	50	Low
188	Financial	54.35	Between 30 to 60 million	50.94	7	Low	881	10	Fast	50	Low
189	Financial	50	Between 30 to 60 million	50	48	Moderate	176	993	Slow	50	Low
190	Identity	54.35	Between 30 to 60 million	50.94	7	Low	569	17	Fast	50	Low
191	Personal	50	Between 30 to 60 million	50	48	Moderate	721	1033	Slow	50	Low
192	Authentication Credentials	44.61	Between 30 to 60 million	43.43	36	Moderate	486	727	Slow	50	Low
193	Personal	50	Between 30 to 60 million	50	58	Moderate	1461	1092	Slow	50	Low
194	Identity	40.64	Between 30 to 60 million	42.18	58	Moderate	491	1088	Slow	50	Low
195	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	865	237	Slow	50	Low
196	Intellectual Property	50.64	Between 30 to 60 million	54.69	58	Moderate	863	942	Slow	50	Low
197	Intellectual Property	49.8	Between 30 to 60 million	53.44	4	Low	244	399	Slow	50	Low
198	Personal	50	Between 30 to 60 million	50	48	Moderate	600	187	Slow	50	Low
199	Intellectual Property	51.36	Between 30 to 60 million	53.44	36	Moderate	315	957	Slow	50	Low
200	Intellectual Property	51.95	Between 30 to 60 million	49.69	88	High	789	839	Slow	50	Low
201	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	600	428	Slow	50	Low
202	Intellectual Property	55.16	Between 30 to 60 million	52.13	80	High	1614	666	Slow	50	Low
203	Identity	64.94	More than 60 million	59.7	88	High	887	111	Fast	50	Low
204	Financial	50	Between 30 to 60 million	50	48	Moderate	692	258	Slow	50	Low
205	Financial	50	Between 30 to 60 million	50	48	Moderate	731	145	Slow	50	Low
206	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	549	958	Slow	50	Low
207	Health	53.51	Between 30 to 60 million	49.69	36	Moderate	618	1088	Slow	50	Low
208	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	136	90	Fast	50	Low
209	Financial	50	Between 30 to 60 million	50	48	Moderate	916	432	Slow	50	Low
210	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	311	382	Slow	50	Low
211	Intellectual Property	66.33	More than 60 million	71.77	7	Low	546	478	Slow	50	Low
212	Financial	50	Between 30 to 60 million	50	48	Moderate	134	223	Slow	50	Low
213	Intellectual Property	61.24	More than 60 million	63.45	80	High	126	932	Slow	50	Low
214	Financial	50	Between 30 to 60 million	50	48	Moderate	784	87	Fast	50	Low
215	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	585	47	Fast	50	Low
216	Financial	50	Between 30 to 60 million	50	48	Moderate	629	364	Slow	50	Low
217	Financial	50	Between 30 to 60 million	50	36	Moderate	136	626	Slow	50	Low
218	Health	63.51	More than 60 million	62.2	100	High	1428	650	Slow	50	Low
219	Identity	50.26	Between 30 to 60 million	47.19	36	Moderate	816	951	Slow	50	Low
220	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	431	568	Slow	50	Low
221	Intellectual Property	60.26	Between 30 to 60 million	59.7	95	High	1756	274	Slow	50	Low
222	Financial	50	Between 30 to 60 million	50	48	Moderate	201	874	Slow	50	Low
223	Identity	66.89	More than 60 million	67.2	28	Low	462	762	Slow	50	Low
224	Financial	50	Between 30 to 60 million	50	48	Moderate	434	725	Slow	50	Low
225	Authentication Credentials	44.35	Between 30 to 60 million	38.43	7	Low	756	294	Slow	50	Low
226	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	697	895	Slow	50	Low
227	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	417	192	Slow	50	Low
228	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	491	93	Fast	50	Low
229	Financial	50	Between 30 to 60 million	50	48	Moderate	249	726	Slow	50	Low
230	Identity	44.61	Between 30 to 60 million	43.43	58	Moderate	939	606	Slow	50	Low
231	Financial	47.85	Between 30 to 60 million	45.94	28	Low	758	781	Slow	50	Low
232	Financial	52.66	Between 30 to 60 million	48.44	47	Moderate	931	426	Slow	50	Low
233	Personal	46.88	Between 30 to 60 million	42.18	36	Moderate	671	993	Slow	50	Low
234	Financial	63.77	More than 60 million	67.2	95	High	322	314	Slow	50	Low
235	Financial	35.96	Between 30 to 60 million	42.18	69	High	476	694	Slow	50	Low
236	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	742	734	Slow	50	Low
237	Personal	30.64	Between 30 to 60 million	29.67	48	Moderate	702	1001	Slow	50	Low
238	Financial	50	Between 30 to 60 million	50	48	Moderate	863	930	Slow	50	Low
239	Personal	44.86	Between 30 to 60 million	48.44	69	High	84	1029	Slow	50	Low
240	Financial	45.45	Between 30 to 60 million	44.68	19	Low	417	776	Slow	50	Low
241	Personal	50	Between 30 to 60 million	50	48	Moderate	775	994	Slow	50	Low
242	Financial	50	Between 30 to 60 million	50	48	Moderate	302	591	Slow	50	Low
243	Financial	40.51	Between 30 to 60 million	39.68	28	Low	316	731	Slow	50	Low
244	Intellectual Property	57.27	Between 30 to 60 million	62.2	7	Low	863	1080	Slow	50	Low
245	Authentication Credentials	50	Between 30 to 60 million	50	88	High	188	567	Slow	50	Low
246	Financial	50	Between 30 to 60 million	50	48	Moderate	894	741	Slow	50	Low
247	Identity	41.3	Between 30 to 60 million	43.16	69	High	170	569	Slow	50	Low
248	Intellectual Property	61.82	More than 60 million	59.7	4	Low	494	831	Slow	50	Low
249	Personal	50	Between 30 to 60 million	50	48	Moderate	179	55	Fast	50	Low
250	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	336	295	Slow	50	Low
251	Financial	30.76	Between 30 to 60 million	32.17	36	Moderate	813	390	Slow	50	Low
252	Personal	50	Between 30 to 60 million	50	48	Moderate	749	134	Slow	50	Low
253	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	760	547	Slow	50	Low
254	Personal	50.26	Between 30 to 60 million	47.19	47	Moderate	350	1091	Slow	50	Low
255	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	803	643	Slow	50	Low
256	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	345	926	Slow	50	Low
257	Personal	50	Between 30 to 60 million	50	48	Moderate	559	658	Slow	50	Low
258	Intellectual Property	41.48	Between 30 to 60 million	43.43	88	High	1477	716	Slow	50	Low
259	Identity	48.57	Between 30 to 60 million	44.68	36	Moderate	914	846	Slow	50	Low
260	Financial	50	Between 30 to 60 million	50	48	Moderate	213	284	Slow	50	Low
261	Financial	61.95	More than 60 million	62.2	7	Low	118	227	Slow	50	Low
262	Personal	40.18	Between 30 to 60 million	48.44	48	Moderate	616	256	Slow	50	Low
263	Financial	50	Between 30 to 60 million	50	48	Moderate	112	931	Slow	50	Low
264	Personal	50	Between 30 to 60 million	50	80	High	1459	201	Slow	50	Low
265	Financial	48.05	Between 30 to 60 million	50.85	4	Low	237	1068	Slow	50	Low
266	Personal	50	Between 30 to 60 million	50	48	Moderate	1092	626	Slow	50	Low
267	Personal	50	Between 30 to 60 million	50	48	Moderate	164	801	Slow	50	Low
268	Financial	50	Between 30 to 60 million	50	48	Moderate	1139	441	Slow	50	Low
269	Financial	50	Between 30 to 60 million	50	48	Moderate	87	742	Slow	50	Low
270	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	485	850	Slow	50	Low
271	Financial	50	Between 30 to 60 million	50	48	Moderate	1131	854	Slow	50	Low
272	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	304	574	Slow	50	Low
273	Financial	50	Between 30 to 60 million	50	48	Moderate	494	353	Slow	50	Low
274	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	73	1089	Slow	50	Low
275	Identity	52.21	Between 30 to 60 million	54.69	36	Moderate	786	5	Fast	50	Low
276	Personal	50	Between 30 to 60 million	50	48	Moderate	212	56	Fast	50	Low
277	Authentication Credentials	50	Between 30 to 60 million	50	48	Moderate	573	20	Fast	50	Low
278	Personal	50	Between 30 to 60 million	50	48	Moderate	1781	115	Fast	50	Low
279	Intellectual Property	55.54	Between 30 to 60 million	63.9	28	Low	245	473	Slow	61.79	High
280	Intellectual Property	50.24	Between 30 to 60 million	48.58	2	Low	362	108	Fast	47.56	Low
281	Financial	48.97	Between 30 to 60 million	53.69	58	Moderate	1442	237	Slow	42.78	Low
282	Personal	44.3	Between 30 to 60 million	51.13	28	Low	892	668	Slow	62.51	High
283	Health	61.11	More than 60 million	53.69	80	High	369	781	Slow	39.5	Low
284	Authentication Credentials	50.62	Between 30 to 60 million	56.24	88	High	1290	584	Slow	67.05	High
285	Identity	66.16	More than 60 million	63.9	58	Moderate	772	699	Slow	46.39	Low
286	Financial	55.17	Between 30 to 60 million	56.24	47	Moderate	983	760	Slow	52.1	High
287	Health	62.31	More than 60 million	62.62	2	Low	517	969	Slow	67.05	High
288	Personal	34.19	Between 30 to 60 million	30.71	47	Moderate	948	879	Slow	44.74	Low
289	Identity	64.65	More than 60 million	63.9	88	High	342	254	Slow	39.16	Low
290	Intellectual Property	47.9	Between 30 to 60 million	47.31	19	Low	451	838	Slow	48.6	Low
291	Financial	30.43	Between 30 to 60 million	24.86	58	Moderate	1058	546	Slow	41.01	Low
292	Identity	57.36	Between 30 to 60 million	54.93	58	Moderate	413	636	Slow	42.89	Low
293	Personal	31.48	Between 30 to 60 million	21.77	36	Moderate	570	522	Slow	41.96	Low
294	Identity	52.7	Between 30 to 60 million	52.41	47	Moderate	565	1049	Slow	61.56	High
295	Intellectual Property	72.48	More than 60 million	69.01	58	Moderate	440	240	Slow	45.8	Low
296	Personal	56.81	Between 30 to 60 million	58.79	7	Low	871	674	Slow	56.55	High
297	Personal	60.79	More than 60 million	62.62	58	Moderate	1487	284	Slow	64.11	High
298	Intellectual Property	53.53	Between 30 to 60 million	53.69	36	Moderate	453	943	Slow	50	Low
299	Personal	40.76	Between 30 to 60 million	40.92	2	Low	193	148	Slow	45.58	Low
300	Intellectual Property	51.06	Between 30 to 60 million	49.86	7	Low	870	970	Slow	41.15	Low
301	Intellectual Property	47.21	Between 30 to 60 million	48.58	88	High	703	534	Slow	41.27	Low
302	Authentication Credentials	66.98	More than 60 million	65.18	13	Low	756	857	Slow	51.31	High
303	Intellectual Property	41.58	Between 30 to 60 million	42.2	36	Moderate	896	662	Slow	53.39	High
304	Financial	46.63	Between 30 to 60 million	52.41	36	Moderate	929	693	Slow	58.54	High
305	Intellectual Property	43.6	Between 30 to 60 million	52.41	36	Moderate	649	882	Slow	56.33	High
306	Health	49.67	Between 30 to 60 million	52.41	80	High	48	459	Slow	47.31	Low
307	Authentication Credentials	44.62	Between 30 to 60 million	42.2	7	Low	132	665	Slow	62.51	High
308	Identity	44.05	Between 30 to 60 million	46.03	47	Moderate	303	188	Slow	45.71	Low
309	Financial	41.58	Between 30 to 60 million	42.2	36	Moderate	873	589	Slow	41.96	Low
