event_ID	fin_loss	data_type	num_people	num_people_v2	num_records	per_sensitive	per_sensitive_v2	dys_impact	dys_detect	cost_controls
244	57.9	Intellectual Property	57.27	Between 30 to 60 million	62.2	7	Low	863	1080	50
245	50	Authentication Credentials	50	Between 30 to 60 million	50	88	High	188	567	50
246	50	Financial	50	Between 30 to 60 million	50	48	Low	894	741	50
247	50.27	Identity	41.3	Between 30 to 60 million	43.16	69	High	170	569	50
248	60.25	Intellectual Property	61.82	More than 60 million	59.7	4	Low	494	831	50
249	50	Personal	50	Between 30 to 60 million	50	48	Low	179	55	50
250	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	336	295	50
251	49.37	Financial	30.76	Between 30 to 60 million	32.17	36	Low	813	390	50
252	50	Personal	50	Between 30 to 60 million	50	48	Low	749	134	50
253	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	760	547	50
254	49.37	Personal	50.26	Between 30 to 60 million	47.19	47	Low	350	1091	50
255	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	803	643	50
256	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	345	926	50
257	50	Personal	50	Between 30 to 60 million	50	48	Low	559	658	50
258	56.44	Intellectual Property	41.48	Between 30 to 60 million	43.43	88	High	1477	716	50
259	55.54	Identity	48.57	Between 30 to 60 million	44.68	36	Low	914	846	50
260	50	Financial	50	Between 30 to 60 million	50	48	Low	213	284	50
261	49.09	Financial	61.95	More than 60 million	62.2	7	Low	118	227	50
262	40.84	Personal	40.18	Between 30 to 60 million	48.44	48	Low	616	256	50
263	50	Financial	50	Between 30 to 60 million	50	48	Low	112	931	50
264	50	Personal	50	Between 30 to 60 million	50	80	High	1459	201	50
265	48.19	Financial	48.05	Between 30 to 60 million	50.85	4	Low	237	1068	50
266	50	Personal	50	Between 30 to 60 million	50	48	Low	1092	626	50
267	50	Personal	50	Between 30 to 60 million	50	48	Low	164	801	50
268	50	Financial	50	Between 30 to 60 million	50	48	Low	1139	441	50
269	50	Financial	50	Between 30 to 60 million	50	48	Low	87	742	50
270	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	485	850	50
271	50	Financial	50	Between 30 to 60 million	50	48	Low	1131	854	50
272	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	304	574	50
273	50	Financial	50	Between 30 to 60 million	50	48	Low	494	353	50
274	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	73	1089	50
275	50.83	Identity	52.21	Between 30 to 60 million	54.69	36	Low	786	5	50
276	50	Personal	50	Between 30 to 60 million	50	48	Low	212	56	50
277	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	573	20	50
278	50	Personal	50	Between 30 to 60 million	50	48	Low	1781	115	50
279	61.98	Intellectual Property	55.54	Between 30 to 60 million	63.9	28	Low	245	473	61.79
280	62.31	Intellectual Property	50.24	Between 30 to 60 million	48.58	2	Low	362	108	47.56
281	42.25	Financial	48.97	Between 30 to 60 million	53.69	58	High	1442	237	42.78
282	47.46	Personal	44.3	Between 30 to 60 million	51.13	28	Low	892	668	62.51
283	67.85	Health	61.11	More than 60 million	53.69	80	High	369	781	39.5
284	47.79	Authentication Credentials	50.62	Between 30 to 60 million	56.24	88	High	1290	584	67.05
285	53.34	Identity	66.16	More than 60 million	63.9	58	High	772	699	46.39
286	47.46	Financial	55.17	Between 30 to 60 million	56.24	47	Low	983	760	52.1
287	65.08	Health	62.31	More than 60 million	62.62	2	Low	517	969	67.05
288	44.69	Personal	34.19	Between 30 to 60 million	30.71	47	Low	948	879	44.74
289	54.72	Identity	64.65	More than 60 million	63.9	88	High	342	254	39.16
290	56.44	Intellectual Property	47.9	Between 30 to 60 million	47.31	19	Low	451	838	48.6
291	30.51	Financial	30.43	Between 30 to 60 million	24.86	58	High	1058	546	41.01
292	51.95	Identity	57.36	Between 30 to 60 million	54.93	58	High	413	636	42.89
293	24.3	Personal	31.48	Between 30 to 60 million	21.77	36	Low	570	522	41.96
294	51.95	Identity	52.7	Between 30 to 60 million	52.41	47	Low	565	1049	61.56
295	61.98	Intellectual Property	72.48	More than 60 million	69.01	58	High	440	240	45.8
296	49.18	Personal	56.81	Between 30 to 60 million	58.79	7	Low	871	674	56.55
297	49.51	Personal	60.79	More than 60 million	62.62	58	High	1487	284	64.11
298	56.44	Intellectual Property	53.53	Between 30 to 60 million	53.69	36	Low	453	943	50
299	47.79	Personal	40.76	Between 30 to 60 million	40.92	2	Low	193	148	45.58
300	57.82	Intellectual Property	51.06	Between 30 to 60 million	49.86	7	Low	870	970	41.15
301	56.44	Intellectual Property	47.21	Between 30 to 60 million	48.58	88	High	703	534	41.27
302	46.41	Authentication Credentials	66.98	More than 60 million	65.18	13	Low	756	857	51.31
303	62.31	Intellectual Property	41.58	Between 30 to 60 million	42.2	36	Low	896	662	53.39
304	48.13	Financial	46.63	Between 30 to 60 million	52.41	36	Low	929	693	58.54
305	60.6	Intellectual Property	43.6	Between 30 to 60 million	52.41	36	Low	649	882	56.33
306	70.62	Health	49.67	Between 30 to 60 million	52.41	80	High	48	459	47.31
307	43.31	Authentication Credentials	44.62	Between 30 to 60 million	42.2	7	Low	132	665	62.51
308	53.67	Identity	44.05	Between 30 to 60 million	46.03	47	Low	303	188	45.71
309	49.18	Financial	41.58	Between 30 to 60 million	42.2	36	Low	873	589	41.96
310	65.08	Health	58.9	Between 30 to 60 million	54.96	69	High	288	219	49.44
311	63.7	Health	60.42	Between 30 to 60 million	54.96	47	Low	373	364	43.59
312	50	Personal	50	Between 30 to 60 million	50	19	Low	641	33	50
313	56.44	Intellectual Property	49.29	Between 30 to 60 million	44.75	47	Low	925	93	44.4
314	64.75	Health	53.53	Between 30 to 60 million	53.69	47	Low	665	541	67.05
315	55.05	Identity	49.17	Between 30 to 60 million	42.2	28	Low	701	124	66.57
316	43.31	Financial	50.24	Between 30 to 60 million	48.58	28	Low	500	305	39.98
317	62.31	Intellectual Property	53.65	Between 30 to 60 million	56.24	58	High	229	117	44.4
318	58.15	Intellectual Property	40.07	Between 30 to 60 million	42.2	19	Low	374	749	41.63
319	49.51	Financial	44.37	Between 30 to 60 million	37.09	95	High	1709	973	51.85
320	54	Identity	55.74	Between 30 to 60 million	52.41	2	Low	447	97	45.46
321	45.02	Personal	28.7	Less than 30 million	26.88	19	Low	717	1045	42.44
322	56.44	Intellectual Property	56.56	Between 30 to 60 million	53.69	13	Low	661	353	67.05
323	46.08	Authentication Credentials	47.46	Between 30 to 60 million	53.69	47	Low	450	479	50
324	46.41	Personal	56.31	Between 30 to 60 million	48.58	95	High	238	543	42.19
325	57.82	Intellectual Property	36.09	Between 30 to 60 million	38.37	69	High	1573	78	41.4
326	48.85	Financial	53.53	Between 30 to 60 million	53.69	28	Low	644	834	53.5
327	46.41	Financial	48.85	Between 30 to 60 million	51.13	13	Low	977	523	47.54
328	61.98	Intellectual Property	64.52	More than 60 million	61.35	88	High	1761	620	50.11
329	43.99	Authentication Credentials	64.4	More than 60 million	58.09	69	High	1489	77	44.79
330	49.61	Financial	64.01	More than 60 million	64.04	19	Low	732	386	52.91
331	64.19	Health	54.96	Between 30 to 60 million	58.09	47	Low	596	1083	53.4
332	38.32	Financial	31.44	Between 30 to 60 million	30.71	95	High	1102	446	49.29
333	39.8	Financial	38.51	Between 30 to 60 million	37.85	69	High	161	772	47.6
334	48.42	Authentication Credentials	66.92	More than 60 million	68.81	7	Low	969	150	58.96
335	30.89	Personal	43.75	Between 30 to 60 million	39.8	88	High	1159	367	53.81
336	49.33	Authentication Credentials	53.61	Between 30 to 60 million	58.09	36	Low	309	764	51.97
337	52.9	Identity	59.01	Between 30 to 60 million	58.09	36	Low	974	249	65.66
338	43.09	Authentication Credentials	58.06	Between 30 to 60 million	52.14	100	High	1256	2	51.15
339	55.57	Identity	58.39	Between 30 to 60 million	59.28	2	Low	597	417	57.58
340	41.9	Personal	49.13	Between 30 to 60 million	48.57	47	Low	733	697	52.75
341	50.52	Identity	47.67	Between 30 to 60 million	46.19	47	Low	739	907	63.08
